-5,4, -5,13,
0,11, 4,1,
-6,-2, -4,-1,
-11,-4, -3,0,
4,8, -5,2,
5,3, -1,12,
0,7, -5,5,
9,-2, 8,9,
-4,5, -2,14,
2,11, 4,0,
-6,-1, -4,0,
-12,-2, -3,1,
5,7, -5,3,
5,2, 1,12,
1,7, -4,6,
8,-4, 10,7,
-3,6, 0,14,
4,10, 4,-1,
-6,0, -4,1,
-12,1, -3,1,
7,6, -4,4,
6,1, 4,11,
3,6, -3,7,
8,-5, 11,5,
-2,6, 3,14,
6,9, 4,-1,
-6,2, -4,1,
-11,3, -2,2,
8,4, -3,4,
6,0, 6,11,
4,6, -1,7,
6,-7, 12,3,
-1,6, 6,13,
8,8, 4,-2,
-6,3, -4,2,
-11,5, -2,2,
8,3, -2,5,
6,-1, 8,9,
5,5, 0,7,
5,-8, 12,1,
1,6, 8,11,
9,6, 3,-3,
-5,4, -3,3,
-9,7, -2,2,
9,1, -1,5,
5,-2, 9,7,
6,4, 1,7,
3,-9, 12,-2,
2,6, 10,10,
10,4, 2,-3,
-4,5, -2,3,
-8,9, -1,3,
9,-1, 0,5,
5,-3, 11,6,
6,3, 3,7,
2,-9, 11,-4,
3,6, 12,7,
11,2, 2,-4,
-3,5, -2,4,
-6,10, -1,3,
9,-2, 1,5,
4,-4, 12,3,
7,1, 4,6,
0,-9, 10,-6,
4,5, 13,5,
11,0, 1,-4,
-2,6, -1,4,
-4,11, 0,3,
8,-4, 2,5,
3,-5, 12,1,
7,0, 5,5,
-2,-9, 9,-8,
5,4, 14,2,
11,-2, 0,-4,
-1,6, 0,4,
-2,12, 1,3,
7,-5, 3,5,
2,-5, 12,-1,
7,-1, 6,4,
-4,-8, 7,-10,
6,3, 14,0,
10,-4, -1,-4,
0,6, 1,4,
1,12, 1,3,
6,-7, 4,4,
1,-6, 11,-4,
6,-3, 7,3,
-5,-8, 5,-11,
6,2, 14,-3,
9,-6, -1,-4,
2,6, 1,4,
3,11, 2,2,
4,-8, 4,3,
0,-6, 11,-6,
6,-4, 7,1,
-7,-6, 3,-12,
6,1, 13,-6,
8,-8, -2,-4,
3,6, 2,4,
5,11, 2,2,
3,-8, 5,2,
-1,-6, 9,-8,
5,-5, 7,0,
-8,-5, 1,-12,
6,-1, 11,-8,
6,-9, -3,-3,
4,5, 3,3,
7,9, 2,2,
1,-9, 5,1,
-2,-5, 7,-9,
4,-6, 7,-1,
-9,-3, -2,-12,
6,-2, 10,-10,
4,-10, -3,-2,
5,4, 3,2,
9,8, 3,1,
-1,-9, 5,0,
